animal	day	tx
1	28	none
2	28	none
3	28	none
4	28	none
5	28	none
6	28	none
7	28	ASO6
8	28	ASO6
9	28	ASO6
10	28	ASO6
11	28	ASO6
12	28	ASO6
13	21	ASO6
14	21	ASO6
15	21	ASO6
16	21	ASO6
17	21	ASO6
18	21	ASO6
19	0	none
20	0	none
38	0	none
22	0	none
23	0	none
26	0	none
28	14	ASO6
29	14	ASO6
30	14	ASO6
33	14	ASO6
34	14	ASO6
35	14	ASO6
44	10	ASO6
46	10	ASO6
47	10	ASO6
48	10	ASO6
49	10	ASO6
50	10	ASO6
56	7	ASO6
58	7	ASO6
59	7	ASO6
60	7	ASO6
61	7	ASO6
62	7	ASO6
63	3	ASO6
64	3	ASO6
65	3	ASO6
70	3	ASO6
71	3	ASO6
79	3	ASO6
72	1	ASO6
73	1	ASO6
74	1	ASO6
75	1	ASO6
76	1	ASO6
78	1	ASO6
