animal	day	light	heavy	tissue
1	0	5.210546497815966	NA	brain
2	0	6.614700357773036	NA	brain
3	0	7.5456348473504145	NA	brain
4	0	5.626566506901083	0.3341705742	brain
5	0	5.284024623316821	NA	brain
6	0	4.926666768309844	NA	brain
7	0	4.405534047106735	NA	brain
8	0	4.526360944386229	NA	brain
9	2	3.77105112215347	0.212914817172	brain
11	2	3.6845369593481436	0.184170454104	brain
12	2	4.099553755216338	0.132485007192	brain
13	2	5.142339377014328	0.17573846863200002	brain
14	2	4.303258814170821	0.217009767348	brain
15	2	3.6109882782013587	NA	brain
16	2	3.0687177346507384	0.123014809908	brain
17	4	3.0972419321056215	0.43797176913600006	brain
18	4	3.8450403343234405	0.385118717748	brain
19	4	2.892649082400634	0.27100694527200003	brain
20	4	3.464821831158346	0.4163671173120001	brain
21	4	2.9002790137036176	0.442440992424	brain
22	4	3.1204064672710614	0.35665313124000003	brain
23	4	2.626576499386273	0.26538630904800004	brain
24	4	3.891877957380933	0.515527265436	brain
25	6	3.0559066467145346	0.715865232912	brain
26	6	3.1734914512733177	0.5191094503920001	brain
27	6	3.0309015025285344	0.6117300608640001	brain
28	6	3.0589464965127338	0.56653062858	brain
29	6	3.872662171357632	0.890891008824	brain
30	6	3.9948724757976204	0.7811360070240001	brain
31	6	2.9730317413338025	0.41022366588	brain
32	6	3.2282281178458825	0.682896038484	brain
33	8	3.5282930760639792	1.076645492616	brain
34	8	2.163509872145844	0.408114457872	brain
35	8	2.7432212667735434	0.51363621252	brain
36	8	2.9249174764674555	0.7218578597280001	brain
37	8	2.8355507896451715	0.78212492772	brain
38	8	3.597624417541828	1.0177583534160002	brain
39	8	3.107841035676569	0.937155177072	brain
40	8	3.1020735526303755	0.880209945168	brain
1	0	1.0896525951877756	NA	colon
2	0	0.9928049788612867	NA	colon
3	0	0.7236503305628175	NA	colon
4	0	1.0592541854072277	NA	colon
5	0	1.169885224541058	NA	colon
6	0	0.9863996777486099	NA	colon
7	0	1.307141662596769	NA	colon
8	0	0.9704641907486183	NA	colon
9	2	0.6186018044150845	0.11863223396713912	colon
10	2	0.669658527513825	0.15465547265200447	colon
11	2	0.5238945760907961	NA	colon
12	2	0.605633940919343	0.23013041423534944	colon
13	2	0.86316454666636655	NA	colon
14	2	0.6792085180231808	0.11841559125956236	colon
15	2	0.6325655325850441	0.12140340796756462	colon
16	2	0.4417929082042385	0.11391037687347978	colon
17	4	0.5920000410368409	0.21295654430329655	colon
18	4	0.6386794547185045	0.17073166324755526	colon
19	4	0.7070197497259306	0.46360116137471546	colon
20	4	0.4103659350918399	0.3341904775453709	colon
21	4	0.8370822057257801	0.48226808992530423	colon
22	4	0.4770590049363209	0.21726730159931293	colon
23	4	0.2335804365831853	NA	colon
24	4	0.6366864303697993	0.2413646809599204	colon
25	6	0.5080308757914918	0.3241147300276242	colon
26	6	0.44733981297853453	0.3257177236334303	colon
27	6	0.6161683935128627	0.45784034091339165	colon
28	6	0.6116462001574428	0.5440781603571946	colon
29	6	0.4074393187984299	0.203576234350473	colon
30	6	0.6976317251300894	0.6261328999067958	colon
31	6	0.741833162657009	0.5270299857549862	colon
32	6	0.30912605507558616	0.22506797038740545	colon
33	8	0.60411869831557	0.5292790337625118	colon
34	8	0.253892390674743	0.14558292971192358	colon
35	8	0.5479480612241223	0.375472207331938	colon
36	8	0.40151145286762	0.5129946595325151	colon
37	8	0.17321540189646856	0.16374326707666798	colon
38	8	0.35617137654654624	0.36549354781633914	colon
39	8	0.447604501080499	0.5617452250489291	colon
40	8	0.40607647615139847	0.5957902844147144	colon
